COMMAND     PID        USER   FD     TYPE             DEVICE SIZE/OFF                NODE NAME
AgctorSDK 82260 rahamohebbi  cwd      DIR               1,14      480            81254433 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   122656           123539163 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.Host
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    33280             1561009 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Runtime.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     7168             1560983 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.ComponentModel.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    15360           123538804 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/Swashbuckle.AspNetCore.Swagger.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  2300384 1152921500312569191 /usr/lib/dyld
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    59904             1561202 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Hosting.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    15360             1561283 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.FileProviders.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    26112             1561291 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Features.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     5632             1561029 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Threading.Thread.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    24064             1561268 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Hosting.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    28160             1561308 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Diagnostics.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     5632             1560915 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Text.Encoding.Extensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   392464             1561066 /usr/local/share/dotnet/host/fxr/8.0.8/libhostfxr.dylib
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   160768           123538893 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.CodeGraph.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   159600             1560922 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/libSystem.Native.dylib
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    65024             1561193 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Authorization.Policy.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    28672             1561258 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   420528             1561032 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/libhostpolicy.dylib
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   350208           123539164 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.Host.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   196096           123538886 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.Agents.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   226304           123538887 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.Core.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   217088             1560910 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Console.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   105472             1561264 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   348672             1561206 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Http.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   908288             1561311 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Routing.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   137728             1561299 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.DependencyInjection.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   160768             1561188 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.StaticFiles.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    81408             1561226 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    13312             1561309 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Logging.Debug.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  2812544             1561051 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/libclrjit.dylib
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   499200             1561212 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.RazorPages.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   143872             1561215 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Logging.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    71168             1561236 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Primitives.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    31744           123538889 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.Extensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    23040             1561296 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  6526944             1560911 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/libcoreclr.dylib
AgctorSDK 82260 rahamohebbi  txt      REG               1,14 14166016             1560958 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Private.CoreLib.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  3253760           123538806 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/Swashbuckle.AspNetCore.SwaggerUI.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  2201088             1561254 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.Core.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    73728             1561269 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.Binder.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   592896             1561033 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Linq.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   275968             1560979 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Collections.dll
